SMILES,NLL
CCOc1ccc(C2CC(c3cc(OC)c(OC)c(OC)c3)C3CCCC2C3=O)cc1,26.83771514892578
COc1ccccc1-c1nc(=O)c2c(C)nc(C)cc2[nH]1,23.356210708618164
CCCCOc1ccc(C(=O)Nc2ccccc2C)cc1,21.229570388793945
Cc1ccnc(C2=NOC(Cc3nc(=O)c4c([nH]3)c(Cc3ccccc3)cn4C)C2)c1,42.96516418457031
O=c1ccc(-c2ccc(S(=O)(=O)NC3CCCCC3)o2)n[nH]1,21.803184509277344
COc1ccc2c(n1)c(CC(=O)Nc1cccc(-c3ccncc3)c1)nn2C,26.913972854614258
COc1ccccc1N1CCN(CCS(=O)(=O)c2n[nH]c(=O)[nH]c2=O)CC1,26.13985252380371
Cc1cc(C(F)(F)F)c2c(-c3ccccc3)nn(C)c2n1,21.09430503845215
CCCc1nc2cnc(OC)nc2n(Cc2cccc(Cl)c2)c1=O,24.244064331054688
Cc1ccc(F)cc1NC(=O)C(=O)c1nn(-c2ccc(Cl)cc2)c(=O)c2ccccc12,31.683666229248047
Cc1ccc(CNc2ccc(F)cc2)o1,17.86091423034668
Cc1cc(C)n(-c2nccc(C(F)(F)F)n2)n1,19.264938354492188
COc1cccc(-c2c(-c3ccc(S(C)(=O)=O)cc3)c(=O)c2=O)c1,21.379863739013672
COc1ccc(CNC(=O)c2ccc(-n3c(O)ccc3O)cc2)cc1OC,22.91144561767578
O=C(CCNC(=O)c1ccc(C(=O)c2ccccc2)cc1)Nc1cccnc1,23.396150588989258
Cc1ccc(NC(N)=Nc2ccccc2)cc1,19.706035614013672
COc1ccc(C)cc1NS(=O)(=O)c1ccc(F)c(S(=O)(=O)N2CCOCC2)c1,24.680957794189453
COc1ccc(-c2nc(CS(=O)(=O)Cc3nc(-c4ccccc4F)oc3C)c(C)o2)cc1,23.398805618286133
c1ncn(CC2CCC3(CCCCC3)CC2)n1,23.38928985595703
CCCCNC(=O)CSc1nc2c([nH]c3ccccc32)c(=O)n1-c1ccccc1,19.55919647216797
